feature,gain_importance,split_importance,mean_gain_importance,mean_split_importance
dew_point_f_lag_2,2129348.353351593,1234,354891.3922252655,205.66666666666666
day_of_year_sin_t0,2128273.5097694397,4873,354712.25162823993,812.1666666666666
month_cos_t0,1937398.895105362,2436,322899.8158508937,406.0
temperature_f_window_12_min,1860884.4639759064,1013,310147.41066265106,168.83333333333334
wind_speed_mph_window_6_max,1804595.9832954407,1834,300765.9972159068,305.6666666666667
humidity_pct_lag_16,1771152.0071377754,2572,295192.00118962926,428.6666666666667
wind_speed_mph_window_12_mean,1751444.0543379784,3551,291907.34238966304,591.8333333333334
wind_speed_mph_window_6_mean,1671095.607641697,2695,278515.9346069495,449.1666666666667
time_idx_t0,1648519.6621713638,6528,274753.27702856064,1088.0
temperature_f_window_3_std,1550648.9885911942,2249,258441.49809853235,374.8333333333333
dew_point_f_window_3_min,1515003.8224058151,877,252500.63706763586,146.16666666666666
temperature_f_window_96_mean,1308527.227558136,2498,218087.87125968933,416.3333333333333
temperature_f_lag_2,1259606.2382364273,1546,209934.37303940454,257.6666666666667
dew_point_f_window_24_delta_from_mean,1245548.7753105164,2365,207591.46255175272,394.1666666666667
humidity_pct_window_24_delta_from_mean,1184503.9647541046,3172,197417.32745901743,528.6666666666666
temperature_f_window_24_std,1153781.925002575,2835,192296.98750042915,472.5
temperature_f_window_48_max,1030470.0719275475,1310,171745.01198792458,218.33333333333334
temperature_f_window_12_mean,995553.3824691772,1709,165925.56374486288,284.8333333333333
wind_speed_mph_window_12_max,989718.950155735,1682,164953.15835928917,280.3333333333333
wind_speed_mph_window_3_mean,985911.0745358467,1801,164318.51242264113,300.1666666666667
pressure_in_window_3_delta_from_mean,925363.9345238209,3005,154227.3224206368,500.8333333333333
temperature_f_window_96_max,918180.8673624992,1319,153030.14456041655,219.83333333333334
cond_thunder_t0,890169.4817867279,808,148361.580297788,134.66666666666666
wind_speed_mph_window_3_max,886649.8863978386,1375,147774.98106630644,229.16666666666666
temperature_f_window_6_max,873712.0526838303,775,145618.67544730505,129.16666666666666
temperature_f_lag_12,849345.2750413418,1023,141557.54584022364,170.5
wind_speed_mph_window_24_mean,819985.2367372513,3081,136664.2061228752,513.5
pressure_in_window_24_std,774481.3963546753,2414,129080.23272577922,402.3333333333333
temperature_f_window_6_mean,772914.5937957764,1377,128819.09896596272,229.5
humidity_pct_window_6_max,752708.481924057,647,125451.4136540095,107.83333333333333
temperature_f_window_24_delta_from_mean,694028.9222874641,2746,115671.48704791069,457.6666666666667
month_sin_t0,669566.1643676758,1026,111594.36072794597,171.0
pressure_in_window_48_delta_from_mean,635066.2257909775,2305,105844.37096516292,384.1666666666667
